Dataset,Model,Attack,Watermark,Count,ASR (Avg),TPR_Before (Avg),TPR_After (Avg),PPL_Attacked (Avg),BERTScore (Avg),BLEU (Avg),Prometheus (Avg)
c4,Qwen/Qwen2.5-7B-Instruct,DIPPER,DIP,1,0.9767,0.86,0.02,11.527,0.9009,30.4856,3.7
c4,meta-llama/Llama-3.1-8B-Instruct,DIPPER,DIP,1,0.9206,0.63,0.05,11.4498,0.9314,34.0455,3.82
c4,mistralai/Mistral-7B-Instruct-v0.3,DIPPER,DIP,1,0.9524,0.84,0.04,7.9683,0.9255,33.3005,3.83
c4,Qwen/Qwen2.5-7B-Instruct,DIPPER,KGW,1,0.74,1.0,0.26,11.6391,0.8967,30.7705,3.53
c4,meta-llama/Llama-3.1-8B-Instruct,DIPPER,KGW,1,0.8421,0.95,0.15,11.9673,0.9284,32.8052,3.67
c4,mistralai/Mistral-7B-Instruct-v0.3,DIPPER,KGW,1,0.9286,0.98,0.07,7.9944,0.9221,31.7635,3.81
c4,Qwen/Qwen2.5-7B-Instruct,DIPPER,SIR,1,0.7541,0.61,0.15,11.1041,0.9028,29.8522,3.57
c4,meta-llama/Llama-3.1-8B-Instruct,DIPPER,SIR,1,0.4808,0.52,0.27,12.4178,0.9322,32.2311,3.59
c4,mistralai/Mistral-7B-Instruct-v0.3,DIPPER,SIR,1,0.4773,0.88,0.46,8.1811,0.9232,31.3484,3.79
c4,meta-llama/Llama-3.1-8B-Instruct,DIPPER,SynthID,1,0.8163,0.98,0.18,12.1125,0.928,31.2812,3.75
c4,mistralai/Mistral-7B-Instruct-v0.3,DIPPER,SynthID,1,0.701,0.97,0.29,7.2975,0.9305,35.0796,4.01
c4,Qwen/Qwen2.5-7B-Instruct,DIPPER,Unbiased,1,1.0,0.475,0.0,10.55,0.9032,30.8236,3.55
c4,meta-llama/Llama-3.1-8B-Instruct,DIPPER,Unbiased,1,0.9881,0.42,0.005,12.0341,0.9277,33.4878,3.71
c4,mistralai/Mistral-7B-Instruct-v0.3,DIPPER,Unbiased,1,1.0,0.49,0.0,7.6806,0.9261,34.4161,3.66
c4,Qwen/Qwen2.5-7B-Instruct,DIPPER,Unigram,1,0.8519,0.81,0.12,11.8617,0.9021,29.9499,3.57
c4,meta-llama/Llama-3.1-8B-Instruct,DIPPER,Unigram,1,0.8,0.65,0.13,11.3884,0.9249,32.3417,3.82
c4,mistralai/Mistral-7B-Instruct-v0.3,DIPPER,Unigram,1,0.5926,0.81,0.33,7.7458,0.9311,35.2695,3.92
c4,meta-llama/Llama-3.1-8B-Instruct,JSV,KGW,1,0.5789,0.95,0.4,3.8509,0.8748,17.4794,3.67
c4,Qwen/Qwen2.5-7B-Instruct,RW,DIP,1,0.8333,0.84,0.14,14.4603,0.9275,47.6875,3.32
c4,meta-llama/Llama-3.1-8B-Instruct,RW,DIP,1,0.8974,0.78,0.08,14.8827,0.9239,43.9861,3.38
c4,mistralai/Mistral-7B-Instruct-v0.3,RW,DIP,1,0.875,0.8,0.1,11.6094,0.9221,42.5095,3.23
c4,Qwen/Qwen2.5-7B-Instruct,RW,KGW,1,0.6186,0.97,0.37,13.8103,0.9242,47.4963,3.16
c4,meta-llama/Llama-3.1-8B-Instruct,RW,KGW,1,0.7766,0.94,0.21,15.408,0.9235,42.8599,3.47
c4,mistralai/Mistral-7B-Instruct-v0.3,RW,KGW,1,0.8587,0.92,0.13,12.7147,0.9163,38.9642,3.12
c4,meta-llama/Llama-3.1-8B-Instruct,RW,SIR,1,0.6591,0.44,0.15,16.4814,0.9241,41.2887,3.15
c4,mistralai/Mistral-7B-Instruct-v0.3,RW,SIR,1,0.75,0.88,0.22,12.4931,0.9178,40.5708,3.01
c4,meta-llama/Llama-3.1-8B-Instruct,RW,SynthID,1,0.9053,0.95,0.09,15.1062,0.9248,43.2054,3.17
c4,mistralai/Mistral-7B-Instruct-v0.3,RW,SynthID,1,0.8316,0.95,0.16,10.9322,0.9226,42.9429,3.27
c4,Qwen/Qwen2.5-7B-Instruct,RW,Unbiased,1,0.8333,0.45,0.075,13.9931,0.9273,48.829,3.17
c4,meta-llama/Llama-3.1-8B-Instruct,RW,Unbiased,1,0.9176,0.425,0.035,15.7031,0.9231,41.6971,3.37
c4,mistralai/Mistral-7B-Instruct-v0.3,RW,Unbiased,1,0.9032,0.465,0.045,11.6797,0.9242,45.0613,3.46
c4,Qwen/Qwen2.5-7B-Instruct,RW,Unigram,1,0.6494,0.77,0.27,15.1336,0.9263,46.7602,3.29
